able,Abel,,
acclamation,acclimation,,
acts,ax,,
Adam,atom,,
add,ad,,
addition,edition,,
adds,ads,,
adduce,educe,,
adherence,adherents,,
ado,adieu,,
aerial,ariel,,
affected,effected,,
afterward,afterword,,
aid,aide,,
air,heir,,
ale,ail,,
all,awl,,
allowed,aloud,,
alluded,eluded,,
alter,altar,,
analyst,annalist,,
and,end,,
appetite,apatite,,
apprize,apprise,,
arc,ark,,
ascent,assent,,
assistance,assistants,,
augur,auger,,
aunt,ant,,
away,aweigh,,
axis,axes,access,
axle,axel,,
Babel,babble,,
bad,bade,,
bah,baa,,
bail,bale,,
bait,bate,,
baited,bated,,
bald,balled,bawled,
bali,barley,,
ball,bawl,,
band,banned,,
baron,barren,,
barred,bard,,
base,bass,,
based,baste,,
basil,basal,,
basis,bases,,
basque,bask,,
be,bee,,
beach,beech,,
bear,bare,,
beat,beet,,
been,bin,,
beer,bier,,
bell,belle,,
better,bettor,,
bib,bibb,,
bird,burred,,
birth,berth,,
bite,byte,bight,
bizarre,bazaar,,
block,bloc,,
blue,blew,,
board,bored,,
bold,bowled,,
bomb,balm,,
boolean,bullion,,
booty,bootie,,
border,boarder,,
bore,boar,,
born,borne,,
borough,burrow,,
boulder,bolder,,
bow,beau,,
bow,bough,,
bowed,bode,,
boy,buoy,,
braid,brayed,,
brays,braise,,
breach,breech,,
bread,bred,,
break,brake,,
brewed,brood,,
brews,bruise,,
bridal,bridle,,
broach,brooch,,
browse,brows,,
brute,brut,,
build,billed,,
burger,burgher,,
bury,berry,,
bust,bussed,,
but,butt,,
by,buy,bye,
cached,cashed,,
caddy,caddie,,
Cain,cane,,
calendar,calender,,
callous,callus,,
cannon,canon,,
cantor,canter,,
canvas,canvass,,
capital,capitol,,
carol,carrel,,
carrot,carat,caret,karat
cash,cache,,
cast,caste,,
caster,castor,,
cause,caws,,
cedar,seeder,,
ceiling,sealing,,
centre,center,,
chance,chants,,
chased,chaste,,
chauffeur,shofar,,
cheap,cheep,,
check,Czech,cheque,
chic,sheik,,
Chile,chili,chilly,
choir,quire,,
choose,chews,,
cite,site,sight,
cited,sided,sighted,
cites,sites,sights,
citing,sighting,,
clack,claque,,
clammer,clamor,clamber,
clause,claws,,
click,clique,,
climb,clime,,
close,clothes,,
clue,clew,,
coal,cole,,
coarser,courser,,
coat,cote,,
coax,cokes,,
collared,collard,,
complacent,complaisant,,
complement,compliment,,
conceded,conceited,,
consonants,consonance,,
continents,continence,,
cops,copse,,
coral,choral,,
cord,chord,cored,
core,corps,,
coughers,coffers,,
coulee,coolie,,
council,counsel,,
coup,coo,,
coupe,coop,,
course,coarse,,
cousin,cozen,,
coward,cowered,,
coy,koi,,
craft,kraft,,
crawl,kraal,,
creek,creak,,
crepe,crape,,
cruel,crewel,,
cruise,crews,,
current,currant,,
cursor,curser,,
Cyprus,cypress,,
damn,dam,,
Dane,deign,,
days,daze,,
dear,deer,,
dense,dents,,
descent,dissent,,
die,dye,,
diffused,defused,,
discrete,discreet,,
disperse,disburse,,
do,due,dew,
doc,dock,,
does,doze,,
done,dun,,
draft,draught,,
dual,duel,jewel,
ducked,duct,,
ducks,ducts,,
dying,dyeing,,
earn,urn,,
effect,affect,,
